time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050329:1248,0,0,4.48,1.16,1.98,30.28,2.34,0
20050329:1348,0,0,0,0,0,28.58,2.14,0
20050329:1448,0,0,0,0,0,27.13,2,0
20050329:1548,0,0,0,0,0,25.67,1.93,0
20050329:1648,0,0,0,0,0,24.05,1.72,0
20050329:1748,0,0,0,0,0,22.93,1.72,0
20050329:1848,0,0,0,0,0,22.44,2.48,0
20050329:1948,0,0,0,0,0,22.23,2.62,0
20050329:2048,0,0,0,0,0,21.73,2.48,0
20050329:2148,0,0,0,0,0,20.94,2.28,0
20050329:2248,0,0,0,0,0,20.13,2.21,0
20050329:2348,0,0,0,0,0,19.21,2.07,0
20050330:0048,0,0,0,0,0.82,18.45,1.79,1
20050330:0148,418.35,366.89,143.14,13.59,14.68,20.41,1.31,0
20050330:0248,638.16,622.49,198.4,22.59,28.5,25.57,1.86,0
20050330:0348,712.92,732.89,213.18,21.72,42.06,27.92,2.07,0
20050330:0448,747.7,799.92,212.43,15.22,54.97,29.93,2.48,0
20050330:0548,760.82,820.91,219.21,8.25,66.01,31.29,2.97,0
20050330:0648,775.2,868.28,196.28,5.27,71.42,32.36,3.38,0
20050330:0748,775.44,861.62,199.76,7.91,66.81,32.88,3.66,0
20050330:0848,761.57,817.25,213.56,14.74,56.06,33.02,3.86,0
20050330:0948,734.93,761.83,217.66,21.82,43.25,32.78,3.93,0
20050330:1048,657.57,641.4,216.88,23.55,29.72,32.15,3.79,0
20050330:1148,504.19,470.28,172.86,16.4,15.92,31.15,3.45,0
20050330:1248,0,0,4.49,1.16,2.05,29.52,2.41,0
20050330:1348,0,0,0,0,0,27.94,2.21,0
20050330:1448,0,0,0,0,0,26.64,2.21,0
20050330:1548,0,0,0,0,0,25.51,2.34,0
20050330:1648,0,0,0,0,0,24.6,2.48,0
20050330:1748,0,0,0,0,0,23.83,2.62,0
20050330:1848,0,0,0,0,0,22.91,2.48,0
20050330:1948,0,0,0,0,0,21.84,2.28,0
20050330:2048,0,0,0,0,0,21.01,2.34,0
20050330:2148,0,0,0,0,0,20.41,2.55,0
20050330:2248,0,0,0,0,0,20.05,2.69,0
20050330:2348,0,0,0,0,0,19.81,2.69,0
20050331:0048,0,0,0,0,1.04,19.71,2.69,1
20050331:0148,495.81,458.83,146.56,14.71,14.9,21.29,2.48,0
20050331:0248,659.87,624.24,199.31,22.65,28.72,24.11,3.79,0
20050331:0348,741.65,735.37,212.82,21.64,42.31,26.27,4.34,0
20050331:0448,771.21,800.8,213.15,15.05,55.25,28.12,4,0
20050331:0548,777.12,853.61,199.07,8.12,66.36,29.64,3.1,0
20050331:0648,771.85,868.42,195.94,5.06,71.81,30.71,2.55,0
20050331:0748,764.68,862.08,198.41,7.74,67.08,31.37,2.28,0
20050331:0848,754.01,832.55,205.88,14.72,56.22,31.72,2.28,0
20050331:0948,723.8,761.77,217.41,21.75,43.36,31.69,2.41,0
20050331:1048,658.59,653.87,214.06,23.69,29.8,31.28,2.69,0
20050331:1148,536.35,515.37,173.27,16.95,15.99,30.4,2.83,0
20050331:1248,0.08,0,4.87,1.25,2.13,28.75,2.41,0
20050331:1348,0,0,0,0,0,27.12,2.28,0
20050331:1448,0,0,0,0,0,25.85,2.21,0
20050331:1548,0,0,0,0,0,24.72,2.28,0
20050331:1648,0,0,0,0,0,23.71,2.41,0
20050331:1748,0,0,0,0,0,22.96,2.69,0
20050331:1848,0,0,0,0,0,22.34,2.55,0
20050331:1948,0,0,0,0,0,21.62,2.62,0
20050331:2048,0,0,0,0,0,21,2.76,0
20050331:2148,0,0,0,0,0,20.44,2.76,0
20050331:2248,0,0,0,0,0,19.96,2.69,0
20050331:2348,0,0,0,0,0,19.52,2.62,0
20050401:0048,0,0,0,0,1.26,19.24,2.55,1
20050401:0148,478.22,433.2,148.8,14.64,15.12,20.71,2.28,0
20050401:0248,654.85,615.68,205.99,22.7,28.95,23.91,3.17,0
20050401:0348,746.18,758.58,207.72,21.85,42.55,26.42,3.45,0
20050401:0448,766.18,815.07,210.97,15.03,55.54,28.39,2.83,0
20050401:0548,764.62,854.6,204.04,7.95,66.72,29.86,1.93,0
20050401:0648,756.1,852.85,212.11,4.87,72.19,30.86,1.52,0
20050401:0748,756.7,846.32,214.92,7.59,67.34,31.62,1.79,0
20050401:0848,748.54,801.01,228.35,14.52,56.38,32,2.41,0
20050401:0948,739.4,786.46,210.12,22,43.46,31.95,2.9,0
20050401:1048,677.97,682.37,208.93,24.08,29.89,31.42,3.17,0
20050401:1148,518.07,484.21,176.95,16.78,16.07,30.43,3.17,0
20050401:1248,0.08,0,4.88,1.25,2.2,28.7,2.48,0
20050401:1348,0,0,0,0,0,27.08,2.28,0
20050401:1448,0,0,0,0,0,25.72,2.07,0
20050401:1548,0,0,0,0,0,24.27,2,0
20050401:1648,0,0,0,0,0,22.92,2.21,0
20050401:1748,0,0,0,0,0,21.71,2.21,0
20050401:1848,0,0,0,0,0,20.63,2.21,0
20050401:1948,0,0,0,0,0,19.59,2.34,0
20050401:2048,0,0,0,0,0,18.77,2.34,0
20050401:2148,0,0,0,0,0,18.31,2.48,0
20050401:2248,0,0,0,0,0,18.04,2.55,0
20050401:2348,0,0,0,0,0,17.79,2.55,0
20050402:0048,0,0,0,0,1.48,17.69,2.48,1
20050402:0148,453.26,396.99,151.35,14.49,15.34,19.75,2.07,0
20050402:0248,648.19,617.55,206.92,22.76,29.17,25.09,2.55,0
20050402:0348,730.78,759.55,207.24,21.74,42.79,27.99,2.48,0
20050402:0448,743.8,830.49,201.92,14.91,55.81,30.08,1.38,0
20050402:0548,734.28,854.55,204.72,7.74,67.06,31.43,0.55,0
20050402:0648,749.63,837.4,221.99,4.65,72.58,32.43,1.72,0
20050402:0748,767.39,862.04,205.3,7.47,67.6,33.01,2.69,0
20050402:0848,764.95,831.96,211.08,14.58,56.53,33.08,3.45,0
20050402:0948,746.17,786.43,211.18,21.97,43.57,32.8,3.86,0
20050402:1048,670.31,658.7,215.69,23.83,29.96,32.07,4,0
20050402:1148,552.16,532.5,174.1,17.26,16.14,31.02,3.72,0
20050402:1248,0.08,0,4.89,1.25,2.27,29.33,2.69,0
20050402:1348,0,0,0,0,0,27.72,2.28,0
20050402:1448,0,0,0,0,0,26.33,2,0
20050402:1548,0,0,0,0,0,24.82,2.14,0
20050402:1648,0,0,0,0,0,23.62,2.41,0
20050402:1748,0,0,0,0,0,22.84,2.76,0
20050402:1848,0,0,0,0,0,22.49,2.69,0
20050402:1948,0,0,0,0,0,21.61,2.69,0
20050402:2048,0,0,0,0,0,20.95,2.69,0
20050402:2148,0,0,0,0,0,20.4,2.62,0
20050402:2248,0,0,0,0,0,19.97,2.62,0
20050402:2348,0,0,0,0,0,19.58,2.55,0
20050403:0048,0,0,0,0,1.69,19.33,2.48,1
20050403:0148,460.91,410.29,151.49,14.71,15.55,21.06,2.07,0
20050403:0248,666.67,656.12,195.5,23.12,29.39,25.81,2.76,0
20050403:0348,737.18,760.56,208.04,21.66,43.03,28.32,3.1,0
20050403:0448,758.09,831.41,201.52,14.73,56.09,30.07,2.34,0
20050403:0548,749.87,839.39,213.68,7.49,67.41,31.31,1.59,0
20050403:0648,744.99,853.43,211.43,4.47,72.97,32.44,1.24,0
20050403:0748,754.02,862.63,203.98,7.31,67.86,33.13,1.79,0
20050403:0848,754.67,831.72,210.84,14.47,56.68,33.46,2.69,0
20050403:0948,728.92,757.47,224.01,21.67,43.67,33.35,3.38,0
20050403:1048,666.83,659.15,215.5,23.82,30.04,32.73,3.79,0
20050403:1148,523.82,494.42,176.57,16.94,16.21,31.7,3.59,0
20050403:1248,103.21,122.03,19.64,1.82,2.35,29.89,2.55,0
20050403:1348,0,0,0,0,0,28.24,2.07,0
20050403:1448,0,0,0,0,0,26.35,1.72,0
20050403:1548,0,0,0,0,0,24.59,1.66,0
20050403:1648,0,0,0,0,0,23.18,1.86,0
20050403:1748,0,0,0,0,0,21.79,2,0
20050403:1848,0,0,0,0,0,22.16,1.72,0
20050403:1948,0,0,0,0,0,21.15,1.79,0
20050403:2048,0,0,0,0,0,20.27,1.86,0
20050403:2148,0,0,0,0,0,19.17,2,0
20050403:2248,0,0,0,0,0,18.39,2,0
20050403:2348,0,0,0,0,0,17.65,2.07,0
20050404:0048,0,0,0,0,1.91,17.05,2.14,1
20050404:0148,501.97,460.1,154.17,15.44,15.76,20.06,1.72,0
20050404:0248,680.53,696.24,183.34,23.53,29.61,26.72,2.48,0
20050404:0348,742.6,790.8,193.03,21.77,43.27,29.04,2.9,0
20050404:0448,752.96,832.38,201.13,14.55,56.36,30.75,2.14,0
20050404:0548,763.86,871.9,193.59,7.36,67.75,32.07,2.21,0
20050404:0648,765.14,853.79,211.11,4.28,73.35,32.94,2.76,0
20050404:0748,764.92,846.02,214.07,7.12,68.11,33.45,3.03,0
20050404:0848,759.25,831.53,211.75,14.38,56.83,33.6,3.1,0
20050404:0948,726.57,757.57,223.8,21.61,43.76,33.42,3.17,0
20050404:1048,679.54,697.5,204.19,24.21,30.12,32.82,3.1,0
20050404:1148,546.9,535.17,173.77,17.35,16.28,31.87,2.83,0
20050404:1248,100.95,118.34,20.66,1.92,2.42,29.94,2.28,0
20050404:1348,0,0,0,0,0,28.08,2.21,0
20050404:1448,0,0,0,0,0,26.5,2.14,0
20050404:1548,0,0,0,0,0,24.95,2.14,0
20050404:1648,0,0,0,0,0,23.39,2.07,0
20050404:1748,0,0,0,0,0,21.96,2.07,0
20050404:1848,0,0,0,0,0,20.82,2.07,0
20050404:1948,0,0,0,0,0,20.17,2,0
20050404:2048,0,0,0,0,0,19.73,1.93,0
20050404:2148,0,0,0,0,0,19.39,1.86,0
20050404:2248,0,0,0,0,0,18.93,1.93,0
20050404:2348,0,0,0,0,0,18.36,2,0
20050405:0048,0,0,0,0,2.13,17.6,2.07,1
20050405:0148,510.83,475.98,152.61,15.66,15.98,20.55,1.59,0
20050405:0248,655.34,659.5,197.39,23.22,29.82,27.75,1.86,0
20050405:0348,721.13,762.72,207.14,21.44,43.5,30.2,2.21,0
20050405:0448,724.39,817.82,209.32,14.29,56.63,31.69,0.83,0
20050405:0548,729.07,871.96,193.24,7.16,68.09,32.82,0.41,0
20050405:0648,725.41,837.53,220.99,4.08,73.73,33.79,0.69,0
20050405:0748,731.23,846.73,213.82,6.98,68.35,34.38,0.97,0
20050405:0848,728.08,831.38,211.52,14.27,56.97,34.67,1.17,0
20050405:0948,702.33,757.71,223.61,21.56,43.86,34.64,1.52,0
20050405:1048,662.62,697.92,204,24.21,30.19,34.22,1.86,0
20050405:1148,513.59,497.43,176.39,17.03,16.35,33.24,2,0
20050405:1248,118.03,137.84,22.79,2.01,2.49,31.05,1.86,0
20050405:1348,0,0,0,0,0,28.69,1.86,0
20050405:1448,0,0,0,0,0,26.58,1.93,0
20050405:1548,0,0,0,0,0,24.63,1.86,0
20050405:1648,0,0,0,0,0,22.94,1.93,0
20050405:1748,0,0,0,0,0,21.89,1.72,0
20050405:1848,0,0,0,0,0,22.21,1.38,0
20050405:1948,0,0,0,0,0,22.54,1.17,0
20050405:2048,0,0,0,0,0,23.52,0.97,0
20050405:2148,0,0,0,0,0,23.66,0.83,0
20050405:2248,0,0,0,0,0,23.54,0.76,0
20050405:2348,0,0,0,0,0,23.39,0.76,0
20050406:0048,0,0,0,0,2.34,23.1,0.83,1
20050406:0148,469.88,437.7,155.61,15.44,16.18,24.22,0.69,0
20050406:0248,635.18,637.27,203.84,22.97,30.04,29.07,1.38,0
20050406:0348,722.76,763.87,206.71,21.34,43.73,30.52,2.41,0
20050406:0448,747.08,817.74,210.04,14.12,56.9,31.95,2.34,0
20050406:0548,758,872.07,192.91,6.95,68.43,33.18,2.14,0
20050406:0648,742.92,838.01,220.67,3.9,74.11,34.23,1.79,0
20050406:0748,743.25,846.4,213.56,6.83,68.59,34.77,1.79,0
20050406:0848,738.44,832.46,210.21,14.17,57.11,35.05,1.93,0
20050406:0948,708.23,757.87,223.42,21.51,43.95,35.04,2.07,0
20050406:1048,663.63,698.36,203.82,24.2,30.27,34.64,2.07,0
20050406:1148,512.27,498.95,176.31,17.07,16.42,33.8,1.86,0
20050406:1248,115.07,133.9,23.88,2.1,2.57,31.82,1.31,0
20050406:1348,0,0,0,0,0,30.9,0.83,0
20050406:1448,0,0,0,0,0,30.49,0.28,0
20050406:1548,0,0,0,0,0,26.7,1.59,0
20050406:1648,0,0,0,0,0,25.49,1.79,0
20050406:1748,0,0,0,0,0,24.48,1.72,0
20050406:1848,0,0,0,0,0,23.98,2.07,0
20050406:1948,0,0,0,0,0,23.27,2,0
20050406:2048,0,0,0,0,0,22.78,1.93,0
20050406:2148,0,0,0,0,0,22.84,2.14,0
20050406:2248,0,0,0,0,0,22.87,2.41,0
20050406:2348,0,0,0,0,0,23.16,2.55,0
20050407:0048,0,0,0,0,2.55,23.35,2.41,1
20050407:0148,486.69,446.49,158.03,15.72,16.39,24.96,2.48,0
20050407:0248,634.14,581.64,218.86,22.38,30.25,27.3,4.07,0
20050407:0348,731.87,723.28,225.66,20.9,43.95,28.96,4.41,0
20050407:0448,766.83,803.42,218.17,13.87,57.16,31.2,4.41,0
20050407:0548,783.18,872.24,193.64,6.76,68.76,32.36,4,0
20050407:0648,784.76,870.71,200,3.76,74.49,32.43,4.07,0
20050407:0748,780.61,879.36,192.6,6.76,68.83,33.29,3.72,0
20050407:0848,761.67,832.39,210.01,14.08,57.24,33.74,3.45,0
20050407:0948,725.24,758.07,223.24,21.46,44.04,34.1,3.31,0
20050407:1048,657.55,659.24,217.47,23.85,30.34,34,2.97,0
20050407:1148,491.35,461.7,178.01,16.76,16.48,33.44,2.41,0
20050407:1248,131.58,151.88,25.98,2.19,2.64,31.67,1.38,0
20050407:1348,0,0,0,0,0,29.74,1.24,0
20050407:1448,0,0,0,0,0,27.9,1.52,0
20050407:1548,0,0,0,0,0,26.26,1.86,0
20050407:1648,0,0,0,0,0,25.36,1.93,0
20050407:1748,0,0,0,0,0,24.17,1.86,0
20050407:1848,0,0,0,0,0,23.67,2.07,0
20050407:1948,0,0,0,0,0,23.13,1.79,0
20050407:2048,0,0,0,0,0,22.91,1.52,0
20050407:2148,0,0,0,0,0,23.59,1.24,0
20050407:2248,0,0,0,0,0,24.69,0.97,0
20050407:2348,0,0,0,0,0,24.62,1.03,0
20050408:0048,0,0,0,0,2.76,22.67,1.31,1
20050408:0148,399.5,343.1,155.05,14.64,16.6,24.52,0.9,0
20050408:0248,610.07,583.96,218.53,22.39,30.46,28.85,1.38,0
20050408:0348,680.75,670.16,248.72,20.34,44.17,30.48,1.72,0
20050408:0448,721.39,773.81,234.62,13.55,57.41,31.85,1.38,0
20050408:0548,734.68,840.34,212.95,6.5,69.09,33.03,1.1,0
20050408:0648,741.48,870.18,200.75,3.59,74.86,33.86,1.17,0
20050408:0748,749.71,879.07,193.43,6.63,69.06,34.51,1.66,0
20050408:0848,743.43,832.36,209.81,13.98,57.37,34.88,2.28,0
20050408:0948,716.27,758.3,223.07,21.41,44.13,34.82,2.69,0
20050408:1048,657.36,659.82,217.33,23.85,30.41,34.14,2.97,0
20050408:1148,495.96,463.38,178.01,16.81,16.55,33.27,3.03,0
20050408:1248,129.59,147.77,27.12,2.29,2.72,31.74,2.48,0
20050408:1348,0,0,0,0,0,30.21,2.21,0
20050408:1448,0,0,0,0,0,28.95,2,0
20050408:1548,0,0,0,0,0,27.87,1.93,0
20050408:1648,0,0,0,0,0,26.45,1.86,0
20050408:1748,0,0,0,0,0,25.21,1.45,0
20050408:1848,0,0,0,0,0,23.85,2,0
20050408:1948,0,0,0,0,0,23.18,2.14,0
20050408:2048,0,0,0,0,0,22.36,2.14,0
20050408:2148,0,0,0,0,0,21.44,2.07,0
20050408:2248,0,0,0,0,0,20.74,2.21,0
20050408:2348,0,0,0,0,0,20.16,2.28,0
20050409:0048,0,0,3.44,0.85,2.97,19.83,2.14,0
20050409:0148,327.84,252.58,145.38,13.58,16.8,22.32,1.93,0
20050409:0248,560.05,456.9,241.32,20.88,30.66,25.2,3.17,0
20050409:0348,680.52,607.5,271.76,19.65,44.39,27.22,3.31,0
20050409:0448,736.33,716.02,265.05,13.09,57.67,29.12,3.24,0
20050409:0548,750.5,763.76,258.63,6.14,69.42,30.69,3.03,0
20050409:0648,758.07,806.63,240.06,3.35,75.24,31.79,2.83,0
20050409:0748,753.11,799.7,241.58,6.32,69.28,32.62,2.83,0
20050409:0848,746.87,786.12,236.12,13.67,57.5,32.98,3.03,0
20050409:0948,703.13,689.74,253,20.79,44.22,32.94,3.24,0
20050409:1048,634.65,599.31,232.09,23.16,30.48,32.4,3.31,0
20050409:1148,443.32,388.13,175.42,15.99,16.62,31.41,3.1,0
20050409:1248,146.45,164.42,29.19,2.38,2.79,29.66,2.41,0
20050409:1348,0,0,0,0,0,27.96,2.21,0
20050409:1448,0,0,0,0,0,26.5,2.14,0
20050409:1548,0,0,0,0,0,24.87,2.07,0
20050409:1648,0,0,0,0,0,23.21,2.07,0
20050409:1748,0,0,0,0,0,21.83,2.07,0
20050409:1848,0,0,0,0,0,21.95,1.59,0
20050409:1948,0,0,0,0,0,21.59,1.59,0
20050409:2048,0,0,0,0,0,21.04,1.59,0
20050409:2148,0,0,0,0,0,20.54,1.52,0
20050409:2248,0,0,0,0,0,20.48,1.38,0
20050409:2348,0,0,0,0,0,20.94,1.17,0
20050410:0048,0,0,3.46,0.85,3.17,19.72,1.17,0
20050410:0148,420.87,355.74,159.18,15.07,17,20.54,0.97,0
20050410:0248,618.27,575.06,222.65,22.3,30.86,25.37,1.45,0
20050410:0348,695.29,684.93,243.03,20.25,44.61,27.5,1.59,0
20050410:0448,732.31,760.1,242.2,13.15,57.92,29.47,1.79,0
20050410:0548,755.2,810.14,230.77,6.07,69.74,30.99,2.48,0
20050410:0648,762.99,822.82,229.64,3.2,75.61,31.7,2.9,0
20050410:0748,768.97,830.57,222.91,6.27,69.51,32.34,3.45,0
20050410:0848,769.55,832.4,209.44,13.8,57.62,32.47,3.79,0
20050410:0948,725.86,730.22,235.45,21.08,44.3,32.25,3.79,0
20050410:1048,658.72,635.47,223.42,23.55,30.55,31.59,3.66,0
20050410:1148,506.24,466.73,178.02,16.9,16.68,30.54,3.24,0
20050410:1248,144.57,160.17,30.38,2.47,2.86,28.77,2.34,0
20050410:1348,0,0,0,0,0,27.09,2.14,0
20050410:1448,0,0,0,0,0,25.34,1.86,0
20050410:1548,0,0,0,0,0,23.27,1.72,0
20050410:1648,0,0,0,0,0,21.96,1.72,0
20050410:1748,0,0,0,0,0,20.61,1.93,0
20050410:1848,0,0,0,0,0,19.1,2.14,0
20050410:1948,0,0,0,0,0,18.06,2.21,0
20050410:2048,0,0,0,0,0,17.27,2.34,0
20050410:2148,0,0,0,0,0,16.78,2.55,0
20050410:2248,0,0,0,0,0,16.65,2.69,0
20050410:2348,0,0,0,0,0,16.77,2.83,0
20050411:0048,0.18,0,5.02,1.22,3.38,17.14,2.83,0
20050411:0148,469.56,402.51,161.79,15.71,17.2,19.55,2.76,0
20050411:0248,659.62,598.87,217.45,22.56,31.06,22.67,3.93,0
20050411:0348,737.26,699.41,237.73,20.27,44.82,25.09,4.41,0
20050411:0448,772.68,775.74,233.52,13.06,58.16,27.06,4.28,0
20050411:0548,782.36,825.53,221.22,5.92,70.05,28.69,3.79,0
20050411:0648,768.35,822.52,229.36,3.05,75.98,29.81,2.76,0
20050411:0748,765.12,830.48,222.69,6.14,69.72,30.66,2.55,0
20050411:0848,756.74,817.1,217.77,13.64,57.74,31.12,2.55,0
20050411:0948,719.56,730.58,235.31,21.04,44.38,31.17,2.69,0
20050411:1048,656.38,636.16,223.31,23.55,30.62,30.69,2.9,0
20050411:1148,505.94,464.93,178.94,16.94,16.75,29.67,2.83,0
20050411:1248,159.77,175.65,32.42,2.56,2.94,27.88,2.21,0
20050411:1348,0,0,0,0,0,26.05,2.14,0
20050411:1448,0,0,0,0,0,24.48,2.14,0
20050411:1548,0,0,0,0,0,22.96,2.07,0
20050411:1648,0,0,0,0,0,21.51,2.14,0
20050411:1748,0,0,0,0,0,20.26,2.28,0
20050411:1848,0,0,0,0,0,19.04,2.21,0
20050411:1948,0,0,0,0,0,17.96,2.28,0
20050411:2048,0,0,0,0,0,17.13,2.28,0
20050411:2148,0,0,0,0,0,16.39,2.28,0
20050411:2248,0,0,0,0,0,15.76,2.28,0
20050411:2348,0,0,0,0,0,15.27,2.28,0
20050412:0048,0.58,0,5.82,1.41,3.58,15.09,2.21,0
20050412:0148,473.08,408.17,163.65,15.92,17.39,18.94,1.86,0
20050412:0248,666.05,635.97,209.56,23,31.26,24.07,2.55,0
20050412:0348,726.91,727.97,226.11,20.42,45.03,26.66,2.55,0
20050412:0448,752.24,806.61,216.38,13.05,58.4,28.7,2.07,0
20050412:0548,758.07,857.89,201.4,5.82,70.36,30.27,1.66,0
20050412:0648,747.26,855.19,208.83,2.93,76.34,31.56,1.24,0
20050412:0748,754.24,846.39,212.18,6.05,69.93,32.43,2,0
20050412:0848,756.87,832.59,209.09,13.64,57.86,32.85,2.76,0
20050412:0948,730.03,759.52,222.47,21.24,44.46,32.72,3.24,0
20050412:1048,667.77,662.34,215.37,23.8,30.68,32.15,3.38,0
20050412:1148,504.11,466.6,178.95,16.99,16.82,31.14,2.97,0
20050412:1248,156.03,171.31,33.65,2.65,3.01,29.34,2.14,0
20050412:1348,0,0,0,0,0,27.65,2,0
20050412:1448,0,0,0,0,0,25.95,1.86,0
20050412:1548,0,0,0,0,0,24.06,1.72,0
20050412:1648,0,0,0,0,0,22.98,1.66,0
20050412:1748,0,0,0,0,0,22.08,1.79,0
20050412:1848,0,0,0,0,0,20.89,2.07,0
20050412:1948,0,0,0,0,0,19.87,2.28,0
20050412:2048,0,0,0,0,0,19.14,2.34,0
20050412:2148,0,0,0,0,0,18.51,2.28,0
20050412:2248,0,0,0,0,0,17.98,2.21,0
20050412:2348,0,0,0,0,0,17.53,2.14,0
20050413:0048,0.77,0,6.23,1.49,3.78,17.5,1.86,0
20050413:0148,440.7,377.37,163.12,15.63,17.58,21.21,1.24,0
20050413:0248,614.61,578.81,224.07,22.33,31.45,27.64,1.45,0
20050413:0348,692.52,715.54,230.83,20.19,45.23,30.21,1.24,0
20050413:0448,703.6,761.26,241.12,12.67,58.63,32.02,0.62,0
20050413:0548,716.71,765.13,257.3,5.46,70.67,33.31,1.24,0
20050413:0648,752.97,854.92,208.58,2.78,76.7,34.31,2.34,0
20050413:0748,752.49,846.35,211.98,5.94,70.14,34.72,2.55,0
20050413:0848,748.99,831.55,210.02,13.56,57.97,34.84,2.76,0
20050413:0948,717.63,758.46,223.49,21.2,44.54,34.71,2.76,0
20050413:1048,644.44,637.58,223.12,23.56,30.75,34.19,2.76,0
20050413:1148,413.55,358.09,173.74,15.75,16.88,33.27,2.48,0
20050413:1248,99.76,111.44,26.74,2.46,3.09,31.34,2.14,0
20050413:1348,0,0,0,0,0,29.4,2,0
20050413:1448,0,0,0,0,0,27.63,1.79,0
20050413:1548,0,0,0,0,0,25.75,1.59,0
20050413:1648,0,0,0,0,0,24.29,1.59,0
20050413:1748,0,0,0,0,0,23.21,1.52,0
20050413:1848,0,0,0,0,0,22.3,1.66,0
20050413:1948,0,0,0,0,0,21.55,1.72,0
20050413:2048,0,0,0,0,0,21.23,1.72,0
20050413:2148,0,0,0,0,0,20.99,1.66,0
20050413:2248,0,0,0,0,0,20.91,1.66,0
20050413:2348,0,0,0,0,0,20.61,1.86,0
20050414:0048,1.16,0,7.04,1.68,3.98,20.84,1.93,0
20050414:0148,286.96,209.68,143.46,13.41,17.77,24.71,1.52,0
20050414:0248,613.82,558.55,229.66,22.11,31.64,28.06,2.69,0
20050414:0348,727.16,758,212.62,20.45,45.43,30.16,2.76,0
20050414:0448,739.66,792.12,224.12,12.66,58.86,31.95,2.41,0
20050414:0548,757.79,857.87,200.83,5.48,70.97,32.98,2.41,0
20050414:0648,762.78,854.7,209.36,2.64,77.06,33.21,2.76,0
20050414:0748,749.33,815.56,230.24,5.76,70.34,33.45,2.55,0
20050414:0848,735.26,785.79,235.2,13.26,58.08,34.11,2.48,0
20050414:0948,66.54,0,100.34,3.51,44.62,33.97,2.34,0
20050414:1048,467.34,347.46,259.85,19.85,30.82,33.77,2.41,0
20050414:1148,113.15,54.88,96.5,9.99,16.95,33.07,1.66,0
20050414:1248,62.62,72.53,20.04,2.17,3.16,31.28,1.52,0
20050414:1348,0,0,0,0,0,29.21,2.28,0
20050414:1448,0,0,0,0,0,27.74,2.55,0
20050414:1548,0,0,0,0,0,26.68,2.62,0
20050414:1648,0,0,0,0,0,25.87,2.41,0
20050414:1748,0,0,0,0,0,25.19,2.28,0
20050414:1848,0,0,0,0,0,25.35,2.62,0
20050414:1948,0,0,0,0,0,25.07,2.76,0
20050414:2048,0,0,0,0,0,24.75,2.76,0
20050414:2148,0,0,0,0,0,24.38,2.55,0
20050414:2248,0,0,0,0,0,24,2.41,0
20050414:2348,0,0,0,0,0,23.62,2.21,0
20050415:0048,0,0,1.97,0.46,4.17,23.29,2.14,0
20050415:0148,246.17,168.65,134.6,12.73,17.96,25.01,1.86,0
20050415:0248,362.96,208.6,242.59,16.87,31.82,28.25,3.38,0
20050415:0348,720.73,716.29,231.26,19.99,45.63,30.39,3.86,0
20050415:0448,730.31,719.16,264.05,12.17,59.09,32.13,3.72,0
20050415:0548,754.45,795.11,239.45,5.21,71.27,33.44,3.72,0
20050415:0648,759.75,822.76,228.34,2.47,77.42,34.45,3.72,0
20050415:0748,764.92,846.39,211.6,5.72,70.53,34.95,3.79,0
20050415:0848,722.63,713.09,272.98,12.81,58.19,35.06,3.86,0
20050415:0948,727.26,759.28,221.98,21.1,44.69,34.82,3.86,0
20050415:1048,650.95,637.11,222.65,23.51,30.88,34.38,3.79,0
20050415:1148,509.92,478.42,180.56,17.26,17.02,33.42,3.38,0
20050415:1248,112.49,123.97,30.04,2.64,3.24,31.87,2.21,0
20050415:1348,0,0,0,0,0,30.27,1.79,0
20050415:1448,0,0,0,0,0,28.45,1.66,0
20050415:1548,0,0,0,0,0,26.85,1.59,0
20050415:1648,0,0,0,0,0,25.49,1.79,0
20050415:1748,0,0,0,0,0,24.65,2.21,0
20050415:1848,0,0,0,0,0,24.83,2.69,0
20050415:1948,0,0,0,0,0,24.58,2.69,0
20050415:2048,0,0,0,0,0,23.75,2.28,0
20050415:2148,0,0,0,0,0,22.56,1.93,0
20050415:2248,0,0,0,0,0,21.66,1.79,0
20050415:2348,0,0,0,0,0,21.37,1.72,0
20050416:0048,1.62,0,7.9,1.85,4.36,21.57,1.45,0
20050416:0148,484.29,443.21,167.64,16.73,18.14,24.54,0.97,0
20050416:0248,639.32,618.84,215.94,22.75,32.01,28.77,2.14,0
20050416:0348,729.1,773.93,204.18,20.34,45.82,30.75,2.69,0
20050416:0448,758.1,838.46,198.13,12.58,59.31,32.44,3.03,0
20050416:0548,766.63,858.06,201.35,5.17,71.56,33.67,3.38,0
20050416:0648,769.63,870.76,198.78,2.37,77.77,34.69,3.59,0
20050416:0748,772.17,879.3,190.82,5.67,70.72,35.15,3.79,0
20050416:0848,758.43,832.18,208.45,13.33,58.3,35.21,3.86,0
20050416:0948,733.77,773.92,215.38,21.18,44.77,34.97,4.07,0
20050416:1048,652.54,637.87,222.57,23.51,30.94,34.45,4,0
20050416:1148,512.48,480.04,180.55,17.3,17.08,33.56,3.79,0
20050416:1248,76.31,86.52,23.17,2.36,3.31,32.09,2.55,0
20050416:1348,0,0,0,0,0,30.6,2,0
20050416:1448,0,0,0,0,0,28.88,1.59,0
20050416:1548,0,0,0,0,0,27.49,1.45,0
