time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050728:1148,41.87,0,61.98,5.78,21.4,22.45,3.79,0
20050728:1248,33.16,21.56,30.02,4.05,8,22.3,4.21,0
20050728:1348,0,0,0,0,0,22.19,4.14,0
20050728:1448,0,0,0,0,0,22.11,4.41,0
20050728:1548,0,0,0,0,0,21.98,4.48,0
20050728:1648,0,0,0,0,0,21.9,4.34,0
20050728:1748,0,0,0,0,0,21.69,4.21,0
20050728:1848,0,0,0,0,0,21.62,4.28,0
20050728:1948,0,0,0,0,0,21.37,4.14,0
20050728:2048,0,0,0,0,0,21.25,4.07,0
20050728:2148,0,0,0,0,0,20.95,3.86,0
20050728:2248,0,0,0,0,0,20.82,3.72,0
20050728:2348,0,0,0,0,0,20.66,3.52,0
20050729:0048,21.31,18.63,18.39,2.59,6.16,20.46,3.1,0
20050729:0148,109.37,44.85,93.85,9.25,19.54,21.01,4.34,0
20050729:0248,90.3,1.83,118.47,6.97,33.17,22.19,5.52,0
20050729:0348,224.62,24.63,256.33,8.34,46.95,23.23,5.24,0
20050729:0448,470.14,180.97,407.5,7.29,60.82,24.19,5.1,0
20050729:0548,539.55,230.25,458.85,2.44,74.62,24.45,4.34,0
20050729:0648,575.93,278.57,467.03,0.15,86.32,25.36,3.93,0
20050729:0748,189.27,0,250.42,0.71,76.42,25.58,4.69,0
20050729:0848,617.36,413.18,375.36,8.18,62.65,25.48,4.34,0
20050729:0948,542.4,344.3,336.91,14.44,48.78,25.89,4.21,0
20050729:1048,287.25,118.6,235.83,14.12,34.98,25.79,3.52,0
20050729:1148,422.56,332.68,186.14,16.93,21.33,25.51,3.17,0
20050729:1248,134.76,108.98,64.44,6.12,7.91,24.85,2.48,0
20050729:1348,0,0,0,0,0,24.09,2.48,0
20050729:1448,0,0,0,0,0,23.48,2.48,0
20050729:1548,0,0,0,0,0,22.82,2.21,0
20050729:1648,0,0,0,0,0,22.56,2.9,0
20050729:1748,0,0,0,0,0,22.31,3.03,0
20050729:1848,0,0,0,0,0,22.23,2.62,0
20050729:1948,0,0,0,0,0,21.93,2.9,0
20050729:2048,0,0,0,0,0,21.67,2.41,0
20050729:2148,0,0,0,0,0,21.58,2.34,0
20050729:2248,0,0,0,0,0,21.46,2.14,0
20050729:2348,0,0,0,0,0,21.32,2,0
20050730:0048,62.71,56.64,31.3,3.49,6.08,21.36,2.14,0
20050730:0148,124.79,57,100.02,9.8,19.47,21.63,2.83,0
20050730:0248,89.96,1.83,118.41,6.99,33.11,22.07,2.62,0
20050730:0348,219.97,23.28,253.41,8.25,46.91,22.46,2.55,0
20050730:0448,299.59,30.94,349.07,5.05,60.77,22.96,2.62,0
20050730:0548,695.43,600.68,308.99,3.18,74.56,23.2,2.48,0
20050730:0648,139.71,0,189.78,0.04,86.09,23.69,2.14,0
20050730:0748,190.23,0,250.38,0.72,76.34,23.01,2.21,0
20050730:0848,239.23,6.76,301.44,3.65,62.59,23.19,1.93,0
20050730:0948,446.53,208.9,346.65,12.72,48.72,22.84,2.62,0
20050730:1048,409.75,239.35,259.2,16.85,34.92,23.24,3.52,0
20050730:1148,370.56,270.39,178.42,15.94,21.25,23.55,3.24,0
20050730:1248,110.97,88.2,56.39,5.7,7.82,23.3,2.07,0
20050730:1348,0,0,0,0,0,22.74,1.66,0
20050730:1448,0,0,0,0,0,22.28,1.52,0
20050730:1548,0,0,0,0,0,22.08,1.66,0
20050730:1648,0,0,0,0,0,21.89,1.79,0
20050730:1748,0,0,0,0,0,21.73,1.93,0
20050730:1848,0,0,0,0,0,22.59,2.97,0
20050730:1948,0,0,0,0,0,22.13,3.24,0
20050730:2048,0,0,0,0,0,21.91,2.97,0
20050730:2148,0,0,0,0,0,21.58,2.34,0
20050730:2248,0,0,0,0,0,21.41,1.93,0
20050730:2348,0,0,0,0,0,21.36,2.07,0
20050731:0048,0.46,0,6.06,0.99,6,21.4,2.28,0
20050731:0148,6.28,0,16.62,1.67,19.41,21.45,2.41,0
20050731:0248,15.72,0,30.87,1.82,33.06,21.61,2.41,0
