time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060211:0200,13.43,59.6,28,0,28,299.2,1.66,85,90831
20060211:0300,18.28,49.45,269,552.52,95,302.8,1.03,85,90893
20060211:0400,22.92,31.35,503,761.81,116,311,1.66,90,90947
20060211:0500,24.62,27.05,678,790.69,156,320.6,1.24,88,90938
20060211:0600,25.78,23.45,818,886.89,143,328.2,0.34,6,90866
20060211:0700,26.76,21.65,871,890.72,155,332.6,0.76,297,90750
20060211:0800,27.45,20.25,850,887.29,153,333.8,1.1,293,90616
20060211:0900,27.8,19.4,746,825.54,162,334.4,1.52,295,90500
20060211:1000,27.79,18.9,586,767.23,145,333.6,1.79,304,90473
20060211:1100,27.22,18.8,382,685.61,110,331.8,2.21,318,90393
20060211:1200,25.92,19.95,148,442.43,66,328,2.28,334,90491
20060211:1300,23.69,23.85,0,0,0,322.8,2.14,350,90509
20060211:1400,21.85,28.6,0,0,0,319.2,2,7,90598
20060211:1500,20.29,34.05,0,0,0,315.6,1.66,22,90688
20060211:1600,18.6,45.35,0,0,0,312,1.45,38,90723
20060211:1700,18.14,42.2,0,0,0,309.4,1.31,56,90759
20060211:1800,17.72,40.3,0,0,0,307.2,1.31,73,90723
20060211:1900,17.57,39.2,0,0,0,305.4,1.24,78,90679
20060211:2000,17.12,38.4,0,0,0,304,1.31,76,90652
20060211:2100,16.74,37.7,0,0,0,302,1.31,78,90598
20060211:2200,15.83,39.65,0,0,0,301,1.45,84,90634
20060211:2300,15.04,41.85,0,0,0,299.6,1.52,88,90598
20060212:0000,14.48,44.15,0,0,0,299,1.59,89,90625
20060212:0100,14.23,48.3,0,0,0,298.6,1.52,92,90670
20060212:0200,14.55,51.35,29,0,29,298.2,1.31,98,90741
20060212:0300,18.23,55.45,266,513.3,103,302.2,0.69,103,90786
20060212:0400,23.63,29.25,501,735.92,125,311.6,1.03,118,90839
20060212:0500,25.36,24.3,681,792.96,155,321.6,0.69,167,90839
20060212:0600,26.62,21.6,822,888.26,143,330,0.69,242,90777
20060212:0700,27.49,21.3,884,925.36,137,336.6,0.9,246,90670
20060212:0800,28.16,20.4,863,921.49,136,340.2,0.97,266,90563
20060212:0900,28.51,19.85,758,859.68,147,342,1.1,276,90464
20060212:1000,28.52,19.6,593,783.81,140,342.2,1.24,290,90438
20060212:1100,28.1,19.6,385,688.12,110,340.8,1.66,309,90420
20060212:1200,26.96,20.5,152,457.55,66,337,1.79,325,90420
20060212:1300,24.72,24.05,0,0,0,331.8,1.86,339,90500
20060212:1400,22.76,28.95,0,0,0,326.8,1.79,355,90563
20060212:1500,20.84,37.25,0,0,0,322.6,1.59,10,90661
20060212:1600,19.53,44.25,0,0,0,318.8,1.38,27,90723
20060212:1700,18.99,43.05,0,0,0,315.4,1.24,43,90741
20060212:1800,18.39,42.95,0,0,0,313.2,1.31,54,90714
20060212:1900,18.94,39.65,0,0,0,311,1.17,61,90679
20060212:2000,18.28,40.5,0,0,0,309,1.24,58,90625
20060212:2100,17.8,40.9,0,0,0,307.4,1.31,58,90607
20060212:2200,17.09,42.45,0,0,0,305.6,1.38,60,90554
20060212:2300,15.84,46.4,0,0,0,304.2,1.66,66,90536
20060213:0000,15.03,49,0,0,0,303,1.79,76,90572
20060213:0100,14.41,54.1,0,0,0,301.6,1.79,85,90598
20060213:0200,14.57,58.05,29,0,29,300.8,1.59,93,90670
20060213:0300,19.05,52.1,281,599.52,89,304.6,0.97,100,90741
20060213:0400,24.15,29.55,504,737.49,125,313.6,1.45,108,90741
20060213:0500,26.16,24,692,823.66,143,323.8,1.59,122,90732
20060213:0600,27.6,21.55,804,808.84,183,332.4,1.38,142,90670
20060213:0700,28.65,20.85,874,875.81,164,340.2,0.9,160,90572
20060213:0800,29.36,20.05,854,872.09,163,345,0.69,192,90447
20060213:0900,29.73,19.65,754,829.09,162,347.6,0.69,238,90357
20060213:1000,29.74,19.55,597,784.75,141,348,1.1,275,90330
20060213:1100,29.25,19.85,397,742.81,98,347.2,1.59,302,90313
20060213:1200,28,21.4,160,524.8,60,344,1.79,318,90339
20060213:1300,25.67,26.05,0,0,0,339,1.66,332,90411
20060213:1400,23.5,33.3,0,0,0,333.8,1.52,351,90491
20060213:1500,21.53,43.05,0,0,0,329.4,1.38,12,90563
20060213:1600,21.07,42,0,0,0,325.6,1.1,29,90625
20060213:1700,22.07,35,0,0,0,321.6,0.76,47,90625
20060213:1800,21.7,35.35,0,0,0,319,0.55,63,90598
20060213:1900,21.85,35.2,0,0,0,317.4,0.41,56,90536
20060213:2000,21.75,34.15,0,0,0,315.4,0.41,46,90491
20060213:2100,21.57,32.9,0,0,0,313,0.41,41,90438
20060213:2200,21.34,31.85,0,0,0,311.4,0.34,40,90402
20060213:2300,21.09,31.05,0,0,0,310,0.28,46,90366
20060214:0000,20.92,30.3,0,0,0,308.8,0.21,61,90402
20060214:0100,20.83,29.5,0,0,0,308,0.28,86,90420
20060214:0200,20.94,28.75,32,0,32,308,0.34,125,90491
20060214:0300,22.5,30.85,279,569.63,95,313.2,0.34,159,90563
20060214:0400,26.23,24.55,507,738.97,125,321.8,0.41,180,90598
20060214:0500,27.77,21.95,696,825.64,143,332.2,0.69,260,90580
20060214:0600,28.91,20.05,830,889.59,144,339.2,1.52,285,90536
20060214:0700,29.63,19.75,878,877.03,164,346,1.86,283,90420
20060214:0800,30.22,18.85,858,873.38,163,349.4,2.07,277,90322
20060214:0900,30.49,18.25,766,861.52,148,351,2.28,274,90214
20060214:1000,30.37,17.95,600,785.71,141,350.6,2.55,275,90161
20060214:1100,29.82,18,379,616.7,129,349.6,2.62,280,90107
20060214:1200,28.65,19.15,158,471.22,67,346.2,2.07,286,90125
20060214:1300,26.57,22.35,0,0,0,340.6,1.72,293,90161
20060214:1400,24.17,36.9,0,0,0,336.2,1.31,302,90241
20060214:1500,23.5,32.9,0,0,0,332.2,1.17,309,90313
20060214:1600,22.81,32.75,0,0,0,329.4,1.1,300,90384
20060214:1700,22.42,32.5,0,0,0,326.4,1.1,278,90420
20060214:1800,20.63,37.85,0,0,0,324.4,1.38,257,90393
20060214:1900,19.46,41.55,0,0,0,326.2,1.66,240,90348
20060214:2000,18.5,44.05,0,0,0,327.6,1.79,250,90313
20060214:2100,17.42,46.8,0,0,0,326,2.07,266,90268
20060214:2200,17.09,46.9,0,0,0,319.6,1.93,277,90259
20060214:2300,17.21,45.6,0,0,0,316,1.66,286,90250
20060215:0000,17,45.65,0,0,0,313.8,1.52,295,90259
20060215:0100,16.66,48.95,0,0,0,312.05,1.52,300,90339
20060215:0200,16.7,52.4,30,0,30,310.8,1.45,307,90411
20060215:0300,20.59,44.9,278,540.14,102,315,1.1,310,90491
20060215:0400,24.2,26.7,505,711.52,135,322.8,2.55,309,90536
20060215:0500,25.87,22.85,700,826.08,144,330.4,3.1,310,90527
20060215:0600,27.19,20.85,834,890.85,144,335.4,3.52,305,90473
20060215:0700,28.29,22.2,891,911.25,146,344.8,3.52,282,90357
20060215:0800,28.92,21.6,875,924.72,136,348,3.79,275,90241
20060215:0900,29.14,21.1,774,878.41,141,349.8,4.07,273,90143
20060215:1000,28.92,20.9,607,802.01,136,349.6,4.14,272,90063
20060215:1100,28.31,21.25,397,707.95,108,348.2,4,273,90045
20060215:1200,27.26,22.35,161,485.55,66,345.2,3.1,276,90054
20060215:1300,25.45,25,0,0,0,340.4,2.21,284,90071
20060215:1400,24.15,27.6,0,0,0,335.2,2,285,90116
20060215:1500,22.9,30.9,0,0,0,331.6,1.93,276,90170
20060215:1600,21.57,34.35,0,0,0,329,2.07,268,90232
20060215:1700,20.54,35.85,0,0,0,326.4,2.28,266,90268
20060215:1800,19.8,36.8,0,0,0,323.4,2.48,274,90268
20060215:1900,19.33,39.55,0,0,0,322.6,2.48,275,90250
20060215:2000,18.22,43.55,0,0,0,319,2.14,278,90241
20060215:2100,17.11,47.5,0,0,0,315.4,2,281,90170
20060215:2200,16.24,50.2,0,0,0,311.8,1.86,284,90152
20060215:2300,15.59,50.8,0,0,0,309.4,1.93,292,90170
20060216:0000,15.06,51.15,0,0,0,306,1.93,298,90241
20060216:0100,14.68,55.1,0,0,0,302.2,1.93,304,90313
20060216:0200,15.1,57.3,34,0,34,300,1.72,306,90411
20060216:0300,19.94,37.9,287,587.12,94,303.2,1.66,307,90455
20060216:0400,22.87,29.05,509,713,136,310.8,3.1,309,90500
20060216:0500,24.61,25.65,700,811.69,151,318.6,3.66,311,90518
20060216:0600,26,22.95,824,843.23,168,325.2,3.59,308,90455
20060216:0700,26.97,24.35,886,879.41,164,334.8,3.03,300,90348
20060216:0800,27.9,22.35,875,908.34,146,338.8,3.03,293,90250
20060216:0900,28.33,21.25,770,848.2,156,340.8,3.1,290,90152
20060216:1000,28.3,20.95,611,804.62,136,342.2,3.1,289,90125
20060216:1100,27.8,21.15,402,722.58,105,341.2,3.03,291,90071
20060216:1200,26.79,22.1,165,494.54,67,339.6,2.48,296,90125
20060216:1300,25,25.15,0,0,0,334.8,1.86,304,90170
20060216:1400,23.35,30.4,0,0,0,330.4,1.59,306,90232
20060216:1500,22,38.35,0,0,0,327,1.31,304,90322
20060216:1600,21.77,35.3,0,0,0,324.2,1.1,298,90375
20060216:1700,21.98,32.35,0,0,0,322,0.97,290,90420
20060216:1800,21.68,32.25,0,0,0,319.8,1.03,279,90375
20060216:1900,20.06,38.6,0,0,0,321.2,1.31,270,90366
20060216:2000,19.17,40.15,0,0,0,319.2,1.45,273,90322
20060216:2100,18.34,41.3,0,0,0,317.2,1.59,279,90295
20060216:2200,17.58,42,0,0,0,314.6,1.66,284,90268
20060216:2300,16.97,42.45,0,0,0,311.8,1.66,288,90322
20060217:0000,16.4,43.1,0,0,0,309.4,1.66,294,90375
20060217:0100,16.17,45.95,0,0,0,307.6,1.52,299,90438
20060217:0200,16.62,46.9,34,0,34,306.2,1.31,300,90518
20060217:0300,20.02,46.05,290,587.94,95,310.4,0.83,301,90607
20060217:0400,23.97,30.3,521,756.2,123,318,1.45,304,90616
20060217:0500,26.04,26.35,704,813.58,151,326.6,2,304,90616
20060217:0600,27.64,22.5,828,844.63,168,333.4,2.41,299,90563
20060217:0700,28.67,21,885,863.59,173,339.2,2.55,291,90482
20060217:0800,29.45,19,855,827.59,188,341.8,2.83,291,90384
20060217:0900,29.74,17.7,769,832.03,164,342.8,3.1,295,90268
20060217:1000,29.59,17,614,805.56,136,341.6,3.1,297,90241
20060217:1100,28.97,16.95,406,724.98,106,339.6,3.1,301,90223
20060217:1200,27.71,18.15,167,498.39,67,335.4,2.48,308,90259
20060217:1300,25.61,21.1,0,0,0,330.4,2.07,315,90330
20060217:1400,24.03,24.8,0,0,0,325.2,1.86,314,90429
20060217:1500,22.17,35.2,0,0,0,322.2,1.52,306,90536
20060217:1600,21.21,36.75,0,0,0,321.4,1.38,302,90580
20060217:1700,20.51,37.1,0,0,0,322,1.38,305,90589
20060217:1800,20.12,37.45,0,0,0,322,1.38,307,90580
20060217:1900,19.48,41.95,0,0,0,325.6,1.52,303,90563
20060217:2000,19.1,43.6,0,0,0,324,1.52,306,90509
20060217:2100,18.87,44.65,0,0,0,322.2,1.52,312,90482
20060217:2200,18.64,45.55,0,0,0,319.8,1.45,321,90473
20060217:2300,18.62,45.4,0,0,0,317.6,1.38,329,90464
20060218:0000,18.71,44.9,0,0,0,315.8,1.24,337,90509
20060218:0100,19.23,43.5,0,0,0,314.25,1.1,346,90572
20060218:0200,20.09,40.65,35,0,35,313.4,0.9,356,90643
20060218:0300,21.01,57.6,293,591.63,95,318.2,0.62,356,90723
20060218:0400,25.71,33.85,519,730.83,132,326.8,1.72,1,90759
20060218:0500,27.26,30.25,707,815.42,150,336.4,2.34,7,90759
20060218:0600,28.53,27.25,837,861.3,161,344.4,2.41,5,90697
20060218:0700,29.44,25.1,899,897.43,156,350.6,2.34,359,90598
20060218:0800,30.15,23.35,859,827.84,189,355.2,2.41,351,90491
20060218:0900,30.46,22.35,781,865.32,149,357.8,2.55,346,90393
20060218:1000,30.3,22.15,618,806.52,137,358.8,2.76,344,90348
20060218:1100,29.64,22.9,402,686.59,116,357.4,2.9,345,90330
20060218:1200,28.32,25.25,165,457.91,72,354.2,2.76,346,90375
20060218:1300,26.24,29.8,0,0,0,349.2,2.28,347,90447
20060218:1400,24.8,34.35,0,0,0,343.4,1.79,349,90500
20060218:1500,23.07,44.25,0,0,0,338.2,1.38,354,90545
20060218:1600,21.96,48.15,0,0,0,335.4,1.24,0,90589
20060218:1700,21.33,48.35,0,0,0,333.6,1.24,1,90589
20060218:1800,20.77,48.85,0,0,0,332.2,1.31,4,90572
20060218:1900,20.25,50.25,0,0,0,330,1.45,8,90518
20060218:2000,19.91,50.5,0,0,0,328.6,1.52,8,90473
20060218:2100,19.8,50.55,0,0,0,326.8,1.45,7,90447
20060218:2200,19.3,52.55,0,0,0,324.4,1.45,6,90464
20060218:2300,19,53.9,0,0,0,322.6,1.45,7,90464
20060219:0000,18.84,54.8,0,0,0,320.4,1.38,10,90482
20060219:0100,19.23,54.25,0,0,0,318.05,1.24,14,90536
20060219:0200,19.77,53.5,34,0,34,315.8,1.1,26,90589
20060219:0300,21.79,60.1,298,604.05,94,319.8,0.76,27,90634
20060219:0400,26.17,36.6,528,760.14,123,328.4,1.72,28,90679
20060219:0500,27.88,28.95,707,801.18,157,338.6,1.72,14,90670
20060219:0600,29.26,24.4,845,879.07,152,346,1.66,356,90607
20060219:0700,30.21,22.9,893,864.82,174,352.2,2.14,349,90509
20060219:0800,30.93,21.1,868,845.32,181,355.6,2.34,345,90393
20060219:0900,31.26,20.05,785,866.99,149,357.4,2.55,345,90313
20060219:1000,31.1,19.75,614,777.47,148,357.4,2.69,345,90250
20060219:1100,30.39,20.5,405,689.3,116,356.8,2.9,346,90277
20060219:1200,28.98,23,168,462.25,73,352.4,2.62,346,90286
20060219:1300,26.75,27.6,0,0,0,346.2,2.21,347,90348
20060219:1400,25.16,32.55,0,0,0,340,1.72,350,90393
20060219:1500,23.28,45.35,0,0,0,334.4,1.31,355,90455
20060219:1600,22.62,44.1,0,0,0,331.6,1.1,4,90491
20060219:1700,22.19,43.6,0,0,0,329,1.1,8,90491
20060219:1800,21.3,45.55,0,0,0,327.6,1.31,8,90482
20060219:1900,20.67,46.75,0,0,0,325.8,1.45,1,90438
20060219:2000,20.17,47,0,0,0,324.2,1.59,3,90420
20060219:2100,19.75,48.05,0,0,0,323.2,1.59,6,90393
20060219:2200,19.67,48.45,0,0,0,322,1.52,10,90438
20060219:2300,19.67,48.8,0,0,0,320.4,1.38,14,90375
20060220:0000,19.85,48.7,0,0,0,318.2,1.31,22,90447
20060220:0100,19.38,51.55,0,0,0,316.65,1.31,30,90482
20060220:0200,18.66,57.9,36,0,36,316.6,1.45,41,90545
20060220:0300,22.24,54.85,301,607.34,94,319.6,1.03,46,90625
20060220:0400,26.52,34.5,534,775.98,118,328.4,1.93,51,90643
20060220:0500,28.33,27,719,831.98,145,339.2,1.59,42,90652
20060220:0600,29.76,22.2,845,862.57,162,346.8,1.03,17,90598
20060220:0700,30.86,20.1,902,882.8,165,353.2,0.9,341,90509
20060220:0800,31.6,18.8,871,846.75,180,355.8,1.03,327,90402
20060220:0900,31.96,18.25,776,819.81,172,357.8,1.24,322,90295
20060220:1000,31.9,18.15,611,750.41,159,357.8,1.52,323,90268
20060220:1100,31.38,18.5,410,703.87,113,355.8,1.86,330,90250
20060220:1200,30.11,20.1,177,529.09,67,351.6,2,337,90259
20060220:1300,27.76,23.9,0,0,0,345.4,1.93,344,90322
20060220:1400,25.75,28.8,0,0,0,340,1.86,357,90366
20060220:1500,23.84,36.55,0,0,0,335.6,1.59,12,90455
20060220:1600,22.69,42.35,0,0,0,332.2,1.38,29,90473
20060220:1700,22.14,41.35,0,0,0,329.4,1.31,47,90500
20060220:1800,21.62,40.65,0,0,0,327.4,1.38,64,90464
20060220:1900,21.02,41.4,0,0,0,322.8,1.31,73,90411
20060220:2000,20.19,42.95,0,0,0,320.6,1.45,75,90375
20060220:2100,19.49,44.35,0,0,0,320,1.52,73,90330
20060220:2200,18.6,46.7,0,0,0,320.2,1.66,72,90330
20060220:2300,18.15,47.9,0,0,0,319.6,1.72,73,90330
20060221:0000,17.97,48.4,0,0,0,317.4,1.66,74,90357
20060221:0100,17.63,52.9,0,0,0,320.65,1.66,80,90411
20060221:0200,17.77,57.55,41,0,41,318.8,1.52,90,90482
20060221:0300,22.31,51.95,305,610.49,95,325.8,0.9,100,90554
20060221:0400,27.3,29.8,533,748.93,129,333.6,1.24,109,90580
20060221:0500,29.17,22.45,723,833.6,145,344.2,0.55,124,90572
20060221:0600,30.41,19.35,849,863.81,162,351.2,0.48,312,90518
20060221:0700,31.32,18.35,906,883.93,165,354.6,1.38,341,90420
20060221:0800,31.89,17.45,885,879.91,164,358,1.59,333,90304
20060221:0900,32.13,17.05,788,852.79,157,359.4,1.86,326,90223
20060221:1000,31.99,17,631,826.09,131,359.4,2.14,324,90161
20060221:1100,31.39,17.55,393,591.14,142,356.8,2.48,327,90161
20060221:1200,30.11,19.2,99,52.32,88,352.8,2.41,336,90170
20060221:1300,27.9,22.9,0,0,0,346.8,2.21,346,90241
20060221:1400,26.15,27.4,0,0,0,342.4,1.93,359,90295
20060221:1500,24.36,35.85,0,0,0,338.6,1.52,12,90366
20060221:1600,23.64,38,0,0,0,334.4,1.31,25,90393
20060221:1700,24.68,30.35,0,0,0,331.6,0.97,34,90411
20060221:1800,24.96,27.75,0,0,0,329.2,0.62,52,90375
20060221:1900,24.08,31.65,0,0,0,331.8,1.03,120,90357
20060221:2000,22.58,35.3,0,0,0,330,1.1,124,90322
20060221:2100,21.73,36.8,0,0,0,329.2,1.1,116,90268
20060221:2200,20.77,38.8,0,0,0,326,1.17,109,90259
20060221:2300,20.03,40.25,0,0,0,323.4,1.17,108,90241
20060222:0000,19.18,42.45,0,0,0,321.2,1.31,112,90304
20060222:0100,19.32,43.25,0,0,0,319.45,1.24,114,90366
20060222:0200,21.45,35.65,37,0,37,319.4,0.9,120,90482
20060222:0300,22.55,62,303,578.93,102,325.4,0.21,141,90536
20060222:0400,28.27,25.95,528,709.27,143,336,0.41,224,90554
20060222:0500,29.86,21.7,719,803.61,159,346.8,0.9,275,90563
20060222:0600,31,19.2,848,848.76,170,354,1.52,290,90482
20060222:0700,31.95,18.35,915,901.69,156,361.6,2,286,90384
20060222:0800,32.49,17.25,889,881.21,164,363.6,2.28,291,90268
20060222:0900,32.69,16.55,792,853.23,158,364,2.55,297,90152
20060222:1000,32.52,16.3,628,795.85,144,363.6,2.76,304,90116
20060222:1100,31.87,16.5,416,706.9,114,360.8,2.97,311,90063
20060222:1200,30.68,17.35,182,545.67,66,356.4,2.62,319,90071
20060222:1300,28.55,20,0,0,0,351.2,2.14,328,90143
20060222:1400,26.96,22.85,0,0,0,346.2,2.07,330,90205
20060222:1500,25.46,27.6,0,0,0,342.2,1.79,323,90286
20060222:1600,24,35.5,0,0,0,338.4,1.59,317,90339
20060222:1700,24.23,30.95,0,0,0,335.4,1.17,318,90366
20060222:1800,25.06,26.35,0,0,0,332,0.97,318,90339
20060222:1900,25.3,26.15,0,0,0,333,0.62,298,90295
20060222:2000,24.98,26.6,0,0,0,330.6,0.48,281,90277
20060222:2100,24.69,26.9,0,0,0,329.6,0.55,259,90250
20060222:2200,24.27,27.45,0,0,0,328.6,0.69,261,90259
20060222:2300,23.71,28.3,0,0,0,328,0.9,269,90259
20060223:0000,23.17,29.2,0,0,0,326.8,0.97,276,90313
20060223:0100,22.83,29.8,0,0,0,325.25,0.76,281,90357
20060223:0200,22.82,30.5,41,0,41,322.8,0.55,298,90429
20060223:0300,23.61,51.6,307,582.11,103,326.6,0.41,325,90464
20060223:0400,28.59,22.95,534,724.98,138,334,1.52,337,90518
20060223:0500,30.19,19.25,723,805.31,159,342.8,2.55,343,90518
20060223:0600,31.19,17.65,857,866.23,162,349.4,2.55,331,90464
20060223:0700,31.92,16.8,914,885.01,166,354.6,2.34,322,90402
20060223:0800,32.39,15.95,893,881.32,165,357.2,2.48,320,90313
20060223:0900,32.54,15.25,795,855.04,157,358.2,2.69,322,90232
20060223:1000,32.29,14.95,631,797.03,144,357.2,2.9,326,90179
20060223:1100,31.6,14.9,415,681.71,122,354.8,3.1,331,90125
20060223:1200,30.36,15.45,180,497.97,73,351.2,2.83,337,90143
20060223:1300,28.24,17.65,0,0,0,346,2.41,343,90196
20060223:1400,26.79,20.05,0,0,0,340.2,2.14,347,90241
20060223:1500,25.28,25,0,0,0,336.4,1.79,346,90322
20060223:1600,23.93,32.05,0,0,0,334.2,1.52,343,90366
20060223:1700,23.07,31.45,0,0,0,333.2,1.59,338,90375
20060223:1800,22.38,31.35,0,0,0,332.6,1.72,341,90322
20060223:1900,23.19,27.6,0,0,0,331.2,1.38,351,90304
20060223:2000,22.28,29.3,0,0,0,330,1.45,10,90268
20060223:2100,21.07,32.1,0,0,0,328.4,1.59,29,90232
20060223:2200,20.38,33.5,0,0,0,326.4,1.66,46,90250
20060223:2300,20.4,33.25,0,0,0,324.2,1.45,61,90277
20060224:0000,20.74,32.3,0,0,0,322.6,1.31,79,90268
20060224:0100,20.84,34.05,0,0,0,321.45,1.24,98,90313
20060224:0200,21.2,35.15,42,0,42,321,1.1,113,90366
20060224:0300,23.48,49.25,312,596.47,101,326.2,0.41,114,90455
20060224:0400,28.74,23.8,538,725.89,139,335.2,0.9,107,90473
20060224:0500,30.16,20.15,731,821.18,153,345.6,0.62,87,90464
20060224:0600,31.22,17.9,856,851.29,170,353.2,0.48,350,90420
20060224:0700,32.1,15.65,913,869.64,175,353.8,1.59,311,90330
20060224:0800,32.6,14.5,891,865.77,173,355.4,1.86,312,90205
20060224:0900,32.8,13.75,799,855.53,158,355.8,2,316,90116
20060224:1000,32.62,13.45,638,814.54,138,354.8,2.21,322,90054
20060224:1100,31.99,13.35,424,723.96,111,352.2,2.62,330,90036
20060224:1200,30.71,13.8,182,502.01,73,348.2,2.69,338,90045
20060224:1300,28.46,16.05,0,0,0,342.4,2.41,347,90116
20060224:1400,26.74,18.8,0,0,0,337.8,2.14,355,90179
20060224:1500,25.07,24.65,0,0,0,333.4,1.66,358,90268
20060224:1600,24.75,26.2,0,0,0,330.2,1.17,0,90304
20060224:1700,26.15,18.3,0,0,0,328,0.76,6,90322
20060224:1800,25.75,18.25,0,0,0,326.6,0.76,17,90295
20060224:1900,25.04,20.9,0,0,0,326.2,0.97,36,90259
20060224:2000,23.71,23.65,0,0,0,324.4,1.17,43,90259
20060224:2100,23.12,24.6,0,0,0,323.4,1.17,48,90232
20060224:2200,23.41,23.35,0,0,0,323,1.1,56,90259
20060224:2300,23.32,23.35,0,0,0,322.2,0.97,65,90250
20060225:0000,23.02,24.2,0,0,0,322,0.97,75,90250
20060225:0100,22.11,27.3,0,0,0,321.25,1.1,87,90330
20060225:0200,20.89,36.05,45,0,45,325.2,1.17,100,90375
20060225:0300,23.82,44.7,310,565.68,108,329.2,0.69,102,90438
20060225:0400,29.05,20.95,542,728.57,139,337.4,1.45,102,90500
20060225:0500,30.33,18.35,727,791.64,167,346.4,1.17,103,90464
20060225:0600,31.32,17.3,860,851.3,171,352.4,0.34,120,90411
20060225:0700,31.92,17,922,887.27,166,358.8,0.41,182,90322
20060225:0800,32.4,16.45,910,916.42,147,361.6,0.62,205,90196
20060225:0900,32.63,16.05,811,889.28,142,365,0.76,215,90098
20060225:1000,32.61,15.6,641,814.1,139,363.2,0.9,228,90045
20060225:1100,32.24,15.4,427,724.38,112,361.6,0.83,251,89982
20060225:1200,31.35,16.95,173,405.75,84,362.4,0.83,315,90009
20060225:1300,29.07,20.95,0,0,0,357.6,1.03,335,90071
20060225:1400,27.87,23.8,0,0,0,356.8,0.83,346,90125
20060225:1500,26.63,25.05,0,0,0,347,0.97,28,90205
20060225:1600,25.7,25.25,0,0,0,349.2,0.97,56,90277
20060225:1700,25.84,22.5,0,0,0,343.4,0.83,83,90295
20060225:1800,25.5,22.45,0,0,0,345.2,0.76,100,90286
20060225:1900,24.34,25.15,0,0,0,357.2,0.97,115,90232
20060225:2000,23.13,28.6,0,0,0,350.8,1.1,132,90188
20060225:2100,22.07,31.95,0,0,0,350.8,1.17,142,90143
20060225:2200,21.26,34.25,0,0,0,338.8,1.17,147,90116
20060225:2300,20.53,37.05,0,0,0,338.6,1.24,151,90107
20060226:0000,20.02,39.45,0,0,0,334.8,1.31,158,90152
20060226:0100,19.13,48,0,0,0,332.45,1.45,171,90205
20060226:0200,19.22,55.75,48,0,48,333.4,1.45,183,90277
20060226:0300,24.86,41.25,284,399.47,140,339.8,1.03,194,90339
20060226:0400,28.61,27.35,534,675.48,158,350.4,2.28,207,90366
20060226:0500,30.21,23.2,698,677.98,216,357.8,2.9,205,90375
20060226:0600,31.3,20.75,859,836.55,179,365.2,2.83,203,90295
20060226:0700,31.79,20.05,915,854.51,184,374,3.45,193,90205
20060226:0800,32.22,18.9,829,654.44,282,383.6,3.38,194,90080
20060226:0900,31.82,19.3,761,704.35,229,410.85,3.59,194,90009
20060226:1000,31.46,19.7,637,786.26,150,408.85,3.45,198,89929
20060226:1100,31.04,19.9,296,182.93,216,404.45,2.83,206,89920
20060226:1200,30.3,20.25,183,469.45,79,382.6,2.14,204,89946
20060226:1300,28.56,27.4,0,0,0,385.2,1.17,186,89991
20060226:1400,28.36,23.5,0,0,0,378.4,0.55,125,90063
20060226:1500,27.05,28.85,0,0,0,386.4,0.69,99,90134
20060226:1600,26.73,27.8,0,0,0,384,0.76,128,90188
20060226:1700,25.52,32.05,0,0,0,378.2,0.9,150,90223
20060226:1800,24.63,33.35,0,0,0,360.8,0.97,166,90205
20060226:1900,21.55,43,0,0,0,362.6,1.93,196,90179
20060226:2000,21.22,43.55,0,0,0,364.2,1.93,203,90125
20060226:2100,20.86,43.5,0,0,0,354.8,2.14,203,90063
20060226:2200,20.57,43.6,0,0,0,345.8,2.28,205,90045
20060226:2300,20.03,46.25,0,0,0,341.6,2,209,90018
20060227:0000,19.72,48.6,0,0,0,341.2,1.66,210,90071
20060227:0100,20.13,49.9,0,0,0,337.65,1.38,210,90116
20060227:0200,21.59,44.75,47,0,47,338.8,1.03,245,90232
20060227:0300,24.6,38.4,307,505.63,123,341,0.97,299,90304
20060227:0400,27.03,30.15,538,676.58,159,348.2,1.24,307,90339
20060227:0500,28.91,26.6,731,779.57,174,358.2,1.24,306,90322
20060227:0600,30.57,23.25,863,837.86,179,366.6,1.52,296,90268
20060227:0700,31.55,22.35,924,872.1,175,381.6,2.9,269,90152
20060227:0800,31.89,21.15,912,901.03,156,387.8,3.24,274,90054
20060227:0900,31.78,20.75,822,907.31,134,393.05,3.45,281,89991
20060227:1000,31.11,21.45,647,816.59,139,411.05,3.52,292,89929
20060227:1100,30.08,23.25,428,700.38,120,398.85,3.52,307,89929
20060227:1200,29.16,24.8,191,527.52,73,397.05,3.17,322,89964
20060227:1300,27.99,27.3,0,0,0,399.85,2.28,334,90009
20060227:1400,27.05,30.1,0,0,0,397.85,1.72,346,90089
20060227:1500,25.95,34.6,0,0,0,383.6,1.45,349,90152
20060227:1600,24.77,38.15,0,0,0,376.6,1.66,342,90214
20060227:1700,24.17,38.1,0,0,0,377.6,2.07,343,90268
20060227:1800,23.38,39.8,0,0,0,364.4,2.21,353,90241
20060227:1900,22.69,40.5,0,0,0,359.8,2.07,9,90232
20060227:2000,22.01,41.45,0,0,0,362.2,2,31,90179
20060227:2100,21.58,41.85,0,0,0,365,2,47,90134
20060227:2200,21.44,41.55,0,0,0,373.6,2,58,90134
20060227:2300,20.79,42.8,0,0,0,349.8,2,63,90107
