time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20151125:1300,22.21,54.8,0,0,0,353,1.86,42,90563
20151125:1400,21.04,59.4,0,0,0,349.4,1.79,47,90652
20151125:1500,19.97,64.9,0,0,0,345.8,1.72,52,90723
20151125:1600,18.92,71.05,0,0,0,342.6,1.59,54,90759
20151125:1700,17.97,76.2,0,0,0,339.4,1.52,55,90786
20151125:1800,17.43,77.55,0,0,0,336.4,1.38,58,90750
20151125:1900,17.02,79.15,0,0,0,334.4,1.38,61,90732
20151125:2000,16.72,79.2,0,0,0,332.6,1.31,64,90688
20151125:2100,16.34,79.65,0,0,0,331,1.38,62,90643
20151125:2200,15.85,80.9,0,0,0,330.6,1.52,59,90625
20151125:2300,15.46,81.5,0,0,0,331.2,1.66,60,90598
20151126:0000,15.22,80.75,0,0,0,328.6,1.79,65,90616
20151126:0100,15.02,81.05,0,0,0,328.65,1.79,68,90652
20151126:0200,15.75,81.7,94,291.53,53,326.4,1.52,67,90732
20151126:0300,20.15,60.6,301,559.64,109,327.4,1.45,65,90777
20151126:0400,22.3,51,500,713.61,134,334.8,1.72,67,90804
20151126:0500,23.97,44.7,655,801.89,143,342.6,1.52,67,90750
20151126:0600,25.18,40.95,737,808.34,162,349.4,1.1,61,90661
20151126:0700,26.04,40.5,759,830.06,156,357.4,0.76,68,90572
20151126:0800,26.51,39.6,705,809.89,152,361.2,0.21,34,90464
20151126:0900,26.7,39,590,785.07,132,363.4,0.48,321,90402
20151126:1000,26.54,39.25,415,694.32,113,364.6,0.69,324,90420
20151126:1100,25.87,43.85,197,440.16,88,363.8,0.69,340,90384
20151126:1200,23.89,59.2,0,0,0,361.4,0.83,9,90402
20151126:1300,21.93,62.5,0,0,0,357.4,1.1,26,90429
20151126:1400,20.62,65.95,0,0,0,355.6,1.38,43,90473
20151126:1500,19.51,69.2,0,0,0,354.6,1.45,66,90536
20151126:1600,18.69,71.55,0,0,0,355,1.45,84,90563
20151126:1700,18.23,73.1,0,0,0,356.4,1.31,99,90563
20151126:1800,18.04,72.4,0,0,0,356.4,1.17,113,90536
20151126:1900,17.46,76.55,0,0,0,349.4,1.17,127,90509
20151126:2000,17.32,77.65,0,0,0,363.8,1.17,139,90482
20151126:2100,17.02,77.4,0,0,0,354.4,1.38,149,90420
20151126:2200,16.65,77.05,0,0,0,344,1.45,158,90402
20151126:2300,16.5,76.5,0,0,0,346.4,1.52,165,90384
20151127:0000,16.34,77,0,0,0,342.6,1.59,173,90384
20151127:0100,16.34,79.5,0,0,0,346.85,1.59,177,90429
20151127:0200,17.24,80.85,85,224.71,54,344.6,1.38,182,90464
20151127:0300,21.67,63.6,298,558.36,108,351.8,1.31,195,90554
20151127:0400,23.77,56.2,489,674.39,145,357.6,2.07,215,90527
20151127:0500,25.02,53.1,641,758.09,159,362.4,2.48,236,90518
20151127:0600,25.9,50.65,722,763.19,181,368.6,2.69,247,90438
20151127:0700,26.48,47.7,745,784.22,177,370.8,2.76,239,90322
20151127:0800,26.8,45.4,684,735.66,183,373.8,2.9,243,90232
20151127:0900,26.62,44.8,563,675.24,170,394.85,2.83,245,90143
20151127:1000,26.33,45.1,378,509.2,157,394.45,2.69,247,90152
20151127:1100,25.88,46.85,196,441.1,87,398.65,1.93,251,90134
